"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"KC ENGINEERING, INC.","","United States","","","","","THE PROPOSAL TITLED 'FLOW CONTROL RESEARCH' AND THE ASSOCIATED BUDGET DATED 16 NOVEMBER 2012 ARE HEREBY INCORPORTATED BY REFERENCE. IN ADDITION, IN A","","2018","$12,293","$0","$12,293","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","Colorado", "","","","",""
"CHARLES COUNTY GOVERNMENT","","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$12,735","$0","$12,735","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Maryland", "","","","",""
"ENTEGRA CORPORATION","","United States","","","","","NATURAL MOTION EMULATION FOR THE NIST CARTESIAN ROBOT USED TO TEST METAL DETECTORS","","2018","$12,819","$0","$12,819","Measurement and Engineering Research and Standards","Commerce Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","11.609","","Colorado", "","","","",""
"MONSEY NEW SQUARE TRAILS CORP","","United States","","","","","INTERCITY BUS SECURITY GRANTS","","2018","$13,182","$0","$13,182","Intercity Bus Security Grants","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.057","","New York", "","","","",""
"SOUTHERN BANCORP BANK","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$13,500","$0","$13,500","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"CUMMINS  KENNETH L","","United States","","","","","THIS ONE-YEAR EFFORT REQUIRES THE ONGOING EXPERTISE OF DR. KENNETH CUMMINS  OF THE UNIVERSITY OF ARIZONA  AND SERVING IN THE CAPACITY AS PRIVATE CONSULTANT. DR. CUMMINS WILL PROVIDE UNIQUE INSIGHT OF THE CHANGES IN THE PERFORMANCE OF THE US NATIONAL LIGHTNING DETECTION NETWORK (NLDN) DUE TO HARDWARE AND SOFTWARE UPGRADES. IDENTIFICATION OF THESE CHANGES WILL ALLOW HIM TO PROVIDE UNBIASED INTERPRETATIONS OF THE NATURAL (I.E.  NON-NETWORK RELATED) VARIATIONS IN CLOUD-TO-GROUND LIGHTNING CHARACTERISTICS  AND HENCE WILL HELP ASSESS REAL CHANGES IN LIGHTNING NITROGEN OXIDES (LNOX) PRODUCTION  AN IMPORTANT TRACE GAS IN CLIMATE STUDIES. THESE EFFORTS WILL SUPPORT NATIONAL CLIMATE ASSESSMENT (NCA) STUDIES AT NASA/MSFC THAT INVOLVE EXAMINING THE INTER-RELATIONSHIPS BETWEEN LIGHTNING AND CLIMATE. DR. CUMMINS WILL ALSO EXAMINE ASSOCIATED PRECIPITATION ANOMALIES  AND IN PARTICULAR HOW THESE ANOMALIES CORRESPOND TO ONGOING NCA DRY LIGHTNING STUDIES.","","2018","$13,713","$0","$13,713","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Arizona", "","","","",""
"MAKEL ENGINEERING  INC.","","United States","","","","","THIS PROJECT WILL DEVELOP SILICON CARBIDE (SIC) BASED ELECTRONICS CAPABLE OF OPERATION AT 500 DEGREES CELSIUS TO SUPPORT PREVIOUSLY DEMONSTRATED HIGH TEMPERATURE CHEMICAL SENSORS FOR USE IN HARSH ENVIRONMENTS SUCH AS VENUS SURFACE AND GAS GIANTS. THE VENUS CHEMICAL MICROSENSOR ARRAY (VCMA)  WHICH HAS BEEN SEPARATELY DEVELOPED AND DEMONSTRATED UNDER A NASA PHASE II SBIR  CONSISTS OF HIGHLY SELECTIVE  SOLID STATE CHEMICAL MICROSENSORS (CO  NO  OCS  SOX  O2  H2O  HF  AND HCL) THAT CAN OPERATE AT AND ABOVE 500 DEGREES CELSIUS  BUT RELIES ON SILICON-BASED SUPPORT ELECTRONICS LIMITED TO 125 DEGREES CELSIUS OPERATION. THE DEVELOPMENT OF SIC ELECTRONICS IS THE KEY TO ENABLE UNCOOLED LONG DURATION OPERATION AT THE SURFACE OF VENUS. WE WILL DESIGN AND FABRICATE APPLICATION SPECIFIC INTEGRATED CIRCUITS (ASICS) USING NASA DEMONSTRATED SIC TECHNOLOGY TO ENABLE LONG LIVED (100S OF DAYS) CHEMICAL SENSOR MEASUREMENTS ON VENUS  SURFACE. THIS PROJECT WILL FOCUS ON THE DEVELOPMENT OF CORE SIC ELECTRONICS FOR AMPLIFICATION  ANALOG CONTROL FEEDBACK  AND ANALOG TO DIGITAL DATA CONVERSION REQUIRED FOR SENSOR OPERATION. DEVELOPMENT WILL BE BASED ON PREVIOUSLY DEMONSTRATED SIC COMPONENTS THAT HAVE NOT YET BEEN COMBINED INTO THE HIGH LEVEL INTEGRATED CIRCUITS NEEDED TO SUPPORT MANY TYPES OF INSTRUMENTS  INCLUDING VCMA. MATURATION OF HIGH TEMPERATURE ELECTRONICS REDUCES RISK TO FUTURE INSTRUMENT DEVELOPMENT  SUPPORTING OVERALL MISSION OBJECTIVES AND PROVIDING SCIENCE RELEVANT TO DECADAL AND VENUS EXPLORATION ANALYSIS GROUP (VEXAG) GOALS. MAKEL ENGINEERING  INC. (MEI) WORKING ALONG WITH CO-PI S FROM NASA GRC AND NASA JPL WILL USE THE NASA GRC MICROFABRICATION FACILITIES FOR DEVELOPMENT OF THE SIC ELECTRONICS. MEI WILL PROVIDE THE EXPERTISE ON SPECIFIC CIRCUIT DESIGNS AND ASIC ARCHITECTURE FOR THE MICROSENSORS. NASA GRC WILL PROVIDE EXPERTISE ON CIRCUIT IMPLEMENTATION IN SIC AND DEVICE FABRICATION USING THE NASA GRC MICROSYSTEMS FABRICATION LABORATORY. DEMONSTRATION AND VALIDATION OF THE ELECTRONICS WILL BE CONDUCTED BY MEI AN JPL BY INCORPORATING THE SIC ELECTRONICS WITH THE VCMA INTO A SENSING PACKAGE FOR USE IN JPL S ONGOING TERRESTRIAL VOLCANIC TEST PROGRAM WHICH SERVES AS A HOT PLANETARY TESTBED. THE DECADAL SURVEY IDENTIFIES THE VENUS IN-SITU EXPLORER MISSION (VISE) FOR NEW FRONTIERS TO  IN PART   UNDERSTAND THE PROPERTIES OF VENUS S ATMOSPHERE DOWN TO THE SURFACE.  NEAR/ON-SURFACE EXPLORATION REQUIRES HIGH TEMPERATURE SYSTEMS AND  HIGH-TEMPERATURE SURVIVABILITY TECHNOLOGIES SUCH AS ELECTRONICS WILL ENABLE LONG-TERM IN SITU MISSIONS . THE VENUS EXPLORATION WORKING GROUP TECHNOLOGY PLAN SIMILARLY EMPHASIZES THAT  DEVELOPMENT OF HIGH-TEMPERATURE ELECTRONICS  SENSORS  DESIGNED FOR OPERATING IN THE VENUS AMBIENT WOULD BE ENABLING FOR FUTURE MISSIONS . HOWEVER  THE TECHNOLOGY FOR SUCH NEW FRONTIER EXPLORATION IS LIMITED AND MATURATION FOR FUTURE MISSIONS IS NEEDED. THIS PROPOSAL DIRECTLY ADDRESSES VISE S NEEDS FOR TECHNOLOGY OPERATIONAL FOR EXTENDED PERIODS AT THE SURFACE OF VENUS. THE DEVELOPMENT OF THE SIC ELECTRONICS AND THE DEMONSTRATION OF THE ELECTRONICS INTEGRATED WITH EXISTING HARSH ENVIRONMENTAL CHEMICAL SENSORS IN TERRESTRIAL SURROGATE ENVIRONMENTS WILL BRING THE TECHNOLOGY TO A HIGH MATURITY LEVEL.","","2018","$14,052","$0","$14,052","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "","","","",""
"TENAGRA OBSERVATORIES  LTD.","","United States","","","","","WE PROPOSE TO UTILIZE 100% OF THE TIME ON THE TENAGRA II 0.81-M F/7 RITCHEY-CHR TIEN TELESCOPE AND ON THE TENAGRA III 0.41-M F/3.75 ASTROGRAPH (NEAR RIO RICO  AZ) TO PERFORM ASTROMETRIC OBSERVATIONS OF NEOS  WITH THE PRIMARY GOALS OF (A) CONFIRMING NEWLY DISCOVERED NEO CANDIDATES POSTED ON THE NEO CONFIRMATION PAGE (NEOCP)  CONTRIBUTING TO THEIR INITIAL ORBIT AND ABSOLUTE MAGNITUDE DETERMINATION  (B) EXTENDING THE OBSERVED ARCS OF RECENTLY DISCOVERED NEOS AS MUCH AS POSSIBLE DURING THEIR DISCOVERY APPARITIONS  AND (C) RECOVERING SINGLE-OPPOSITION NEOS AT A SECOND APPARITION. CURRENTLY  50% OF THE 0.81-M TELESCOPE'S TIME IS BEING USED FOR NEO OBSERVATIONS  WHICH RESULTED IN 3 000 NEO OBSERVATIONS AND 26 RECOVERIES OF ONE-OPPOSITION NEOS BETWEEN LATE SEPTEMBER 2013 AND EARLY APRIL 2014. THE 0.81-M TELESCOPE IS FULLY AUTOMATED  AND CAN DETECT NEOS DOWN TO V ~ 21.5-21.7 IN UP TO ~ 10 MIN OF EXPOSURE  IN MOST CASES WITH SINGLE EXPOSURES TRACKED ON THE TARGET'S MOTION. THIS MAKES NEARLY ALL OBJECTS CURRENTLY BEING POSTED ON THE NEOCP ACCESSIBLE TO OBSERVATION. THE 0.41-M TELESCOPE  ALSO FULLY AUTOMATED  HAS A 1.35 DEGREE X 1.35 DEGREE FIELD-OFVIEW  WHICH IS SUITABLE FOR FOLLOW-UP AND RECOVERIES OF NEOS DOWN TO V ~ 20.8 HAVING EPHEMERIS UNCERTAINTIES UP TO TENS OF DEGREES. TO MAXIMIZE THE RELEVANCE OF EACH NIGHT'S OBSERVATIONS FOR THE IMPROVEMENT OR NEO ORBITS  TARGET SELECTION TAKES INTO ACCOUNT PARAMETERS SUCH AS EPHEMERIS UNCERTAINTIES  OBSERVED ARCS  LENGTHS OF OBSERVABILITY WINDOWS  AND NEOCP SCORES. FULLY AUTOMATED IMAGE ACQUISITION AND EFFICIENT OBSERVATION SCHEDULING MINIMIZE TELESCOPE IDLE TIME AND MAXIMIZE THE NUMBER OF NEO OBSERVATIONS PER NIGHT. UNATTENDED REAL-TIME MOVING OBJECT DETECTION AND IDENTIFICATION IS DONE ON SITE WITH THE HELP OF A PIPELINE (SKYSIFT)  ALLOWING FAST HUMAN VALIDATION/REJECTION OF THE RESULTING DETECTIONS  AS WELL AS RAPID SUBMISSION OF NEO DETECTIONS TO THE MPC  HELPING AVOID DUPLICATION OF OBSERVATIONS BY OTHER STATIONS. THE PIPELINE'S IMAGE SUBTRACTION ALGORITHM INCREASES DETECTION EFFICIENCY IN CROWDED FIELDS AND IN FIELDS WHERE STARS LEAVE LONG TRAILS DUE TO TRACKING ON A FAST TARGET'S MOTION. AUTOMATED DETECTION IS SUPPLEMENTED WHEN NECESSARY BY VISUAL CHECKING OF IMAGES AND MANUAL MEASUREMENT OF TARGET POSITIONS. A PROPOSED CAMERA UPGRADE FOR THE 0.81-M TELESCOPE IS EXPECTED TO PROVIDE A 50-60% INCREASE IN THAT TELESCOPE'S PRODUCTIVITY. THE PROPOSED NEO OBSERVATION PROGRAM IS RELEVANT TO SUPPORT NASA-FUNDED NEO SURVEYS  ESPECIALLY IN VIEW OF THE EXPECTED SUBSTANTIAL INCREASE IN THE NEO DISCOVERY RATES OF THE MAJOR SURVEYS (CSS AND PAN-STARRS) IN THE NEAR FUTURE.","","2018","$14,392","$0","$14,392","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Oregon", "","","","",""
"KUEHNE CHEMICAL COMPANY INC","Kuehne Chemical","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$14,393","$0","$14,393","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","New Jersey", "New Jersey","USA","privately held","chemicals","chemicals"
"COMMONWEALTH BANK AND TRUST COMPANY","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$15,000","$0","$15,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"FIRST FARMERS BANK AND TRUST CO.","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$15,000","$0","$15,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"GENERAL ATOMICS","General Atomics","United States","","","","","MODELING PLASMA RESPONSE TO NON-AXISYMMETRIC MAGNETIC FIELD PERTURBATIONS IN TOKAMAK BOUNDARIES","","2018","$15,000","$0","$15,000","Office of Science Financial Assistance Program","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.049","","California", "California","USA","privately held","aerospace and military contracting","aerospace & military contracting"
"GUARANTY BANK AND TRUST COMPANY OF DELHI","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$15,000","$0","$15,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"JONES, LUKE T.","","United States","","","","","THIS AGREEMENT SHALL BE PERFORMED IN ACCORDANCE WITH THE PROPOSAL TITLED, 'A THREE PRONG APPROACH TO EXPLORING THE LIMITS OF STATIC MALWARE ANALYSES'","","2018","$15,000","$0","$15,000","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","Colorado", "","","","",""
"THE CLEVELAND STATE BANK","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$15,000","$0","$15,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"UNITED CITIZENS BANK &AMP; TRUST CO., INC.","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$15,000","$0","$15,000","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","ENABLED SCIENCE GOALS: MCCD H-ALPHA DATA HAVE CONTRIBUTED TO STUDIES ON ACTIVE REGION EMERGENCE AND EVOLUTION  SOLAR FLARE AND CHROMOSPHERIC SURGE INITIATION  PRE-FLARE FILAMENT ACTIVATION  AND FLARE-RELATED PARTICLE ACCELERATION. RECENTLY  TWO TEAMS FROM THE INTERNATIONAL SPACE SCIENCES INSTITUTE (ISSI) HAVE EXPRESSLY IDENTIFIED MCCD DATA AS KEY FOR THEIR PARTICULAR INVESTIGATIONS (ON FLARING CHROMOSPHERE CONDITIONS AND ON PRE-FLARE SIGNATURES). ENABLING FULL ACCESS WOULD ALLOW THE EXTENSION OF PRIOR RESEARCH FROM CASE STUDIES TO STATISTICAL EFFORTS. COMMUNITY-IDENTIFIED RESEARCH TOPICS WOULD ADDRESS TWO SCIENCE GOALS FROM THE LATEST HELIOPHYSICS DIVISION ROADMAP: ""SOLVE THE FUNDAMENTAL MYSTERIES OF HELIOPHYSICS (F)"" AND ""BUILD THE KNOWLEDGE TO FORECAST SPACE WEATHER THROUGHOUT THE HELIOSPHERE (W)"".  IN PARTICULAR  THE ANALYSIS OF MCCD DATA COULD ADDRESS GOALS FL AND F2 (UNDERSTANDING MAGNETIC RECONNECTION AND PLASMA PROCESSES)  AND W2 (DEVELOP THE CAPABILITY TO PREDICT THE ORIGIN  ONSET  AND LEVEL OF SOLAR ACTIVITY).","","2018","$15,040","$0","$15,040","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Washington", "","","","",""
"BIOSPHERICAL INSTRUMENTS  INC.","","United States","","","","","PRIOR TO EACH FIELD CAMPAIGN ALL LIGHT SENSORS WILL BE CALIBRATED AT BSI USING AN FEL STANDARD OF SPECTRAL IRRADIANCE THAT IS TRACEABLE TO THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST). A COMPACT OPTICAL PROFILING SYSTEM (C-OPS)  FITTED WITH A COMPACT PROPULSION OPTION FOR PROFILING SYSTEM (C-PROPS) WILL BE USED TO COLLECT VERTICAL PROFILES OF DOWNWARD IRRADIANCE  UPWELLING RADIANCE  AND GLOBAL SOLAR IRRADIANCE AT 19 WAVELENGTHS SPANNING THE UV-NIR (320 865 NM) WITH 10 NM FWHM BANDWIDTHS. WATER TEMPERATURE IS ALSO MEASURED. A B I O SHA DE ACCESSORY ADDS SHADOWBAND OPERATION TO COMPUTE THE DIFFUSE-TO-DIRECT COMPONENT OF THE SOLAR IRRADIANCE. A BIOGPS ADDS TIME AND POSITION ALONG THE CRUISE TRACK AND AT ALL STATIONS. REAL-TIME DATA IS DISPLAYED TO FACILITATE THE SELECTION OF SEAWATER SAMPLING DEPTHS (E.G.  THE DEPTH OF THE 10% AND 1% LIGHT LEVELS).","","2018","$15,200","$0","$15,200","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "","","","",""
"PEASE DEVELOPMENT AUTHORITY","","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$15,445","$0","$15,445","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","New Hampshire", "","","","",""
"KINDER MORGAN LIQUIDS TERMINAL LLC","Kinder Morgan","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$16,520","$0","$16,520","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Louisiana", "Texas","USA","publicly traded","pipelines","pipelines"
"COMMONWEALTH NATIONAL BANK","","United States","","","","","BANK ENTERPRISE AWARD","","2018","$16,626","$0","$16,626","Bank Enterprise Award Program","Treasury Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","21.021",""," ", "","","","",""
"BALMORAL GROUP  LLC  THE","","United States","","","","","THE BALMORAL GROUP TEAM PROPOSES TO CONDUCT A SERIES OF WORKSHOPS IN GULF COAST STATES TO ADVANCE THE USE OF EARTH OBSERVATIONS FOR VALUING ECOSYSTEM SERVICES AND TO DEFINE PRACTICAL MEANS TO INCORPORATE THESE VALUES INTO RESOURCE PLANNING AND DECISION MAKING IN THE COASTAL ENVIRONMENT. PARTNERS IN THE WORKSHOPS WILL INCLUDE PUBLIC AND PRIVATE SECTOR STAKEHOLDERS THAT HAVE THE COMMON GOAL OF IMPROVING THE RESILIENCE OF COASTAL INFRASTRUCTURE AND NATURAL SYSTEMS. COASTAL GREEN INFRASTRUCTURE (CGI)  WHICH INCLUDES (CONSTRUCTED) LIVING SHORELINES AND NATURAL BARRIER ISLANDS  DUNES  SHELLFISH BEDS  AND COASTAL WETLANDS  HAS BEEN IDENTIFIED GENERALLY AS HAVING SIGNIFICANT POTENTIAL TO IMPROVE COMMUNITY RESILIENCE AGAINST STORMS AND SEA LEVEL RISE  REBUILD COASTAL ECOSYSTEMS AND INCREASE THE ECOLOGICAL BENEFITS AND SERVICES THAT CONTRIBUTE TO COASTAL ECONOMIES. HOWEVER  SPECIFIC ECONOMIC MEASURES OF SUCH BENEFITS ARE EITHER LACKING OR ARE INSUFFICIENTLY QUANTIFIED TO PROVIDE PRACTICAL INFORMATION TO DECISION MAKERS  PARTICULARLY WHERE SUCH ECOLOGICAL SERVICES COMPETE FOR WEIGHT OR CONSIDERATION AGAINST MORE BROADLY UNDERSTOOD GOODS AND SERVICES RECOGNIZED BY MARKETS AND THE VARIOUS ECONOMIC MEASURES HISTORICALLY USED BY DECISION MAKERS. AS A PRIMARY AND PRACTICAL EXAMPLE  CGI WILL BE EXPLORED WITH WORKSHOP PARTICIPANTS TO ILLUSTRATE HOW EARTH OBSERVATIONS CAN BE USED TO ASSIST WITH ECOSYSTEM SERVICE VALUATION. THE WORKSHOPS WILL BE DESIGNED SPECIFICALLY TO EVALUATE THE FOLLOWING KEY ELEMENTS OF IMPLEMENTING ECOSYSTEMS SERVICES INTO THE RESOURCE PLANNING PROCESSES:   WHAT DATA SOURCES  INCLUDING EARTH OBSERVATIONS  ARE NEEDED TO IMPROVE THE APPROACHES FOR VALUING COASTAL ECOSYSTEM SERVICES RELATING TO RESILIENCE AND  MORE SPECIFICALLY  THE ROLES OF CGI?   WHAT VALUATION TECHNIQUES BEST TRANSLATE QUANTIFIED ECOSYSTEMS SERVICES DEFINED FOR THE GULF COAST AREA?   TO WHAT DEGREE DO RESOURCE MANAGERS CURRENTLY USE THE VALUES OF ECOSYSTEMS SERVICES IN DECISION MAKING?   WHAT INSTITUTIONAL AND INFORMATIONAL BARRIERS EXIST THAT CONSTRAIN THE APPLICATION OF ECOSYSTEM SERVICES WITHIN DECISION MAKING RELATED TO PLANNING AND MANAGEMENT OF COASTAL RESOURCES (INCLUDING CGI)?   REVIEW CASE STUDIES WITH PARTICIPANTS: EXAMPLES OF SITUATIONS WHERE EARTH OBSERVATIONS HAVE BEEN USED SUCCESSFULLY IN COASTAL INFRASTRUCTURE MANAGEMENT (GREEN OR GREY)   WHAT STEPS NEED TO BE UNDERTAKEN TO ACCELERATE THE ADOPTION OF ECOSYSTEM VALUATION AND ELEVATE ITS IMPACT ON DECISION MAKING  AGAIN HIGHLIGHTING CGI AS AN EXAMPLE OF A TIMELY STRATEGY THAT HAS DOCUMENTED SUCCESS? THE WORKSHOP SERIES IS INTENDED TO BE AN EXERCISE IN ITERATIVE LEARNING SO THAT EACH SESSION BUILDS ON ITS PREDECESSORS IN TERMS OF CONSTRUCTING A KNOWLEDGE BASE ABOUT THE APPLICATION OF ECOSYSTEMS VALUATION IN THEORY AND PRACTICE  AS RELATES TO LOCAL AND FEDERAL AGENCY RESOURCE PLANNING AND COORDINATION. THE OUTPUT OF THE SERIES WILL INCLUDE GUIDANCE TO NASA AND OTHER FEDERAL AGENCIES ON THE USE OF EARTH OBSERVATIONS TO INFORM ECOSYSTEMS VALUATION WITHIN A REGIONAL RESOURCE   THE GULF OF MEXICO WITH NUMEROUS INTERACTING AGENCIES  FEDERAL AND STATE.","","2018","$17,471","$0","$17,471","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Florida", "","","","",""
